case_number,agency,area,reported_date,crime_code,block_address,verified,locality,description,address,lon,lat
2022-00048154,ACPD,S1-6,2022-07-14T01:08:59Z,Shots Fired 2,100 WHITEWOOD RD,VERIFIED,Albemarle County,Shots Fired,100 WHITEWOOD RD Albemarle County,-78.4962561,38.0755353
2022-00048754,ACPD,S3-20,2022-07-16T22:41:20Z,Shots Fired 2,900 BUCK MTN FORD LN,VERIFIED,Albemarle County,Shots Fired,900 BUCK MTN FORD LN Albemarle County,-78.5342364,38.1985388
2022-00020848,CPD,CASE,2022-07-23T18:21:10Z,13A,2300 DELLMEAD LN,CASE,Charlottesville,Aggravated Assault,2300 DELLMEAD LN Charlottesville,-78.4986563,38.0604284
2022-00020934,CPD,CASE,2022-07-24T17:42:39Z,13A,100 STEWART CIR,CASE,Charlottesville,Aggravated Assault,100 STEWART CIR Charlottesville,-78.49434339999999,38.0434953
2022-00050680,ACPD,S6-15,2022-07-25T16:27:36Z,Shots Fired 2,2500 NORTH GARDEN LN,VERIFIED,Albemarle County,Shots Fired,2500 NORTH GARDEN LN Albemarle County,-78.6446222,37.9668067
2022-00050737,ACPD,S7-5,2022-07-25T22:21:12Z,Shots Fired 2,200 COLONNADE DR,VERIFIED,Albemarle County,Shots Fired,200 COLONNADE DR Albemarle County,-78.51589059999999,38.04493739999999
2022-00051191,ACPD,CASE,2022-07-27T16:07:26Z,13A,SAXON CT,CASE,Albemarle County,Aggravated Assault,SAXON CT Albemarle County,-78.4710287,38.0743176
2022-00051793,ACPD,S7-16,2022-07-30T00:16:35Z,Shots Fired 2,GILLUMS RIDGE RD,VERIFIED,Albemarle County,Shots Fired,GILLUMS RIDGE RD Albemarle County,-78.6377011,38.0526411
2022-00022356,CPD,CASE,2022-08-06T05:13:28Z,13A,200 LANKFORD AVE,CASE,Charlottesville,Aggravated Assault,200 LANKFORD AVE Charlottesville,-78.4887004,38.0220905
2022-00053597,ACPD,S6-4,2022-08-07T17:47:37Z,Shots Fired 2,1700 RESERVOIR RD,VERIFIED,Albemarle County,Shots Fired,1700 RESERVOIR RD Albemarle County,-78.5557207,38.0263767
2022-00053600,ACPD,CASE,2022-08-07T18:35:46Z,13A,300 VALLEY ST,CASE,Albemarle County,Aggravated Assault,300 VALLEY ST Albemarle County,-78.4953021,37.7988703
2022-00022502,CPD,CASE,2022-08-07T18:39:23Z,13A,400 5TH ST,CASE,Charlottesville,Aggravated Assault,400 5TH ST Charlottesville,-78.4894769,38.0280872
2022-00053659,ACPD,S1-6,2022-08-07T23:38:09Z,Shots Fired 2,2100 COMMONWEALTH DR,VERIFIED,Albemarle County,Shots Fired,2100 COMMONWEALTH DR Albemarle County,-78.4925291,38.0699504
2022-00055232,ACPD,S7-16,2022-08-14T19:01:57Z,Shots Fired 2,2000 LAKESIDE DR,VERIFIED,Albemarle County,Shots Fired,2000 LAKESIDE DR Albemarle County,-78.6248513,38.0936022
2022-00055528,ACPD,CASE,2022-08-16T03:12:12Z,13A,700 QUEENS CT,CASE,Albemarle County,Aggravated Assault,700 QUEENS CT Albemarle County,-78.47158019999999,38.0743185
2022-00023467,CPD,DC-3,2022-08-16T23:45:20Z,Shots Fired 2,800 HARDY DR,VERIFIED,Charlottesville,Shots Fired,800 HARDY DR Charlottesville,-78.49039789999999,38.0332385
2022-00023667,CPD,DS-7,2022-08-18T21:47:24Z,Shots Fired 2,1400 FOREST RIDGE RD,VERIFIED,Charlottesville,Shots Fired,1400 FOREST RIDGE RD Charlottesville,-78.4977693,38.0253485
2022-00023699,CPD,CASE,2022-08-19T02:13:20Z,13A,100 DANBURY CT,CASE,Charlottesville,Aggravated Assault,100 DANBURY CT Charlottesville,-78.4714201,38.0186285
2022-00056156,ACPD,S5-3,2022-08-19T07:16:05Z,Shots Fired 2,800 FRANKLIN ST,VERIFIED,Albemarle County,Shots Fired,800 FRANKLIN ST Albemarle County,-78.4669912,38.0185081
2022-00056222,ACPD,CASE,2022-08-19T16:42:22Z,13A,400 BURGOYNE RD,CASE,Albemarle County,Aggravated Assault,400 BURGOYNE RD Albemarle County,-78.5128683,38.0639348
2022-00024573,CPD,CASE,2022-08-26T17:34:01Z,13A,1200 GRADY AVE,CASE,Charlottesville,Aggravated Assault,1200 GRADY AVE Charlottesville,-78.49434149999999,38.0394575
2022-00024700,CPD,CASE,2022-08-27T18:13:31Z,13A,400 11TH ST,CASE,Charlottesville,Aggravated Assault,400 11TH ST Charlottesville,-78.4940467,38.03764160000001
2022-00058118,ACPD,S6-4,2022-08-28T00:54:58Z,Shots Fired 2,DIAMOND CT,VERIFIED,Albemarle County,Shots Fired,DIAMOND CT Albemarle County,-78.5248596,38.0007706
2022-00058173,ACPD,S3-8,2022-08-28T10:14:03Z,Shots Fired 2,PROFFIT RD,VERIFIED,Albemarle County,Shots Fired,PROFFIT RD Albemarle County,-78.423402,38.1065121
2022-00059578,ACPD,S1-6,2022-09-02T22:24:56Z,Shots Fired 2,INGLEWOOD DR,VERIFIED,Albemarle County,Shots Fired,INGLEWOOD DR Albemarle County,-78.4973318,38.0645583
2022-00025561,CPD,DN-1,2022-09-04T03:04:26Z,Shots Fired 2,PAGE ST,VERIFIED,Charlottesville,Shots Fired,PAGE ST Charlottesville,-78.4926015,38.0347784
2022-00026222,CPD,DC-1,2022-09-10T18:39:43Z,Shots Fired 1,300 MAIN ST,VERIFIED,Charlottesville,Shots Fired,300 MAIN ST Charlottesville,-78.4855953,38.0302236
2022-00026629,CPD,CASE,2022-09-14T14:25:26Z,13A,1600 6TH ST,CASE,Charlottesville,Aggravated Assault,1600 6TH ST Charlottesville,-78.4862162,38.0168186
2022-00062184,ACPD,CASE,2022-09-14T17:37:45Z,13A,2300 NORTH BERKSHIRE RD,CASE,Albemarle County,Aggravated Assault,2300 NORTH BERKSHIRE RD Albemarle County,-78.49661119999999,38.0625308
2022-00062171,ACPD,S7-16,2022-09-14T17:57:27Z,Shots Fired 2,2500 DUNMORE RD,VERIFIED,Albemarle County,Shots Fired,2500 DUNMORE RD Albemarle County,-78.6126749,38.1058277
2022-00062309,ACPD,S5-14,2022-09-15T10:40:11Z,Shots Fired 2,2800 RANDOLPHS ORCHARD LN,VERIFIED,Albemarle County,Shots Fired,2800 RANDOLPHS ORCHARD LN Albemarle County,-78.5973815,37.8276742
2022-00026893,CPD,DC-3,2022-09-16T22:52:26Z,Shots Fired 2,8TH ST,VERIFIED,Charlottesville,Shots Fired,8TH ST Charlottesville,-78.4900074,38.0341216
2022-00026896,CPD,DC-1,2022-09-16T23:12:55Z,Shots Fired 2,WATER ST,VERIFIED,Charlottesville,Shots Fired,WATER ST Charlottesville,-78.4749577,38.0285196
2022-00026923,CPD,CASE,2022-09-17T02:59:13Z,09A,200 3RD ST,CASE,Charlottesville,Murder,200 3RD ST Charlottesville,-78.4796393,38.0310686
2022-00027006,CPD,DS-3,2022-09-17T20:29:01Z,Shots Fired 2,200 HARTMANS MILL RD,VERIFIED,Charlottesville,Shots Fired,200 HARTMANS MILL RD Charlottesville,-78.48840469999999,38.0197108
2022-00027035,CPD,DN-2,2022-09-18T00:43:32Z,Shots Fired 2,9TH ST,VERIFIED,Charlottesville,Shots Fired,9TH ST Charlottesville,-78.4750408,38.0299035
2022-00064380,ACPD,S4-10,2022-09-24T18:11:13Z,Shots Fired 3,3600 STONY POINT RD,VERIFIED,Albemarle County,Shots Fired,3600 STONY POINT RD Albemarle County,-78.3807361,38.10650690000001
2022-00027985,CPD,DS-9,2022-09-26T16:29:33Z,Shots Fired 1,1000 FOREST HILLS AVE,VERIFIED,Charlottesville,Shots Fired,1000 FOREST HILLS AVE Charlottesville,-78.495728,38.0253239
2022-00028165,CPD,CASE,2022-09-28T14:40:30Z,13A,900 ANDERSON ST,CASE,Charlottesville,Aggravated Assault,900 ANDERSON ST Charlottesville,-78.4908367,38.0355759
2022-00065355,ACPD,S6-15,2022-09-29T15:45:43Z,Shots Fired 2,3100 MONACAN TRAIL RD,VERIFIED,Albemarle County,Shots Fired,3100 MONACAN TRAIL RD Albemarle County,-78.6405195,37.9682321
2022-00065794,ACPD,S1-6,2022-10-01T19:58:09Z,Shots Fired 2,2200 COMMONWEALTH DR,VERIFIED,Albemarle County,Shots Fired,2200 COMMONWEALTH DR Albemarle County,-78.49312599999999,38.0696355
2022-00028601,CPD,DS-3,2022-10-03T01:04:24Z,Shots Fired 1,6TH ST,VERIFIED,Charlottesville,Shots Fired,6TH ST Charlottesville,-78.4902638,38.028322
2022-00028822,CPD,DS-1,2022-10-05T01:10:34Z,Shots Fired 2,800 BOLLING AVE,VERIFIED,Charlottesville,Shots Fired,800 BOLLING AVE Charlottesville,-78.47805819999999,38.0226333
2022-00028830,CPD,DS-3,2022-10-05T05:08:52Z,Shots Fired 2,100 ELLIOTT AVE,VERIFIED,Charlottesville,Shots Fired,100 ELLIOTT AVE Charlottesville,-78.4876993,38.0248133
2022-00066731,ACPD,S3-8,2022-10-06T19:49:53Z,Shots Fired 2,3200 SOUTH CHESTERFIELD CT,VERIFIED,Albemarle County,Shots Fired,3200 SOUTH CHESTERFIELD CT Albemarle County,-78.41726229999999,38.1245793
2022-00029004,CPD,DS-1,2022-10-07T06:02:31Z,Shots Fired 2,900 RIVES ST,VERIFIED,Charlottesville,Shots Fired,900 RIVES ST Charlottesville,-78.469803,38.0177396
2022-00029212,CPD,DN-7,2022-10-08T23:46:17Z,Shots Fired 2,1700 ROSSER AVE,VERIFIED,Charlottesville,Shots Fired,1700 ROSSER AVE Charlottesville,-78.4963571,38.043371
2022-00068383,ACPD,S5-21,2022-10-14T00:09:20Z,Shots Fired 2,CONFEDERATE ST,VERIFIED,Albemarle County,Shots Fired,CONFEDERATE ST Albemarle County,-78.4965022,37.802771
2022-00068623,ACPD,S5-13,2022-10-14T21:09:49Z,Shots Fired 2,700 WHITE ROCK RD,VERIFIED,Albemarle County,Shots Fired,700 WHITE ROCK RD Albemarle County,-78.526527,37.9569065
2022-00029874,CPD,CASE,2022-10-15T17:15:17Z,13A,200 RIDGE MCINTIRE RD,CASE,Charlottesville,Aggravated Assault,200 RIDGE MCINTIRE RD Charlottesville,-78.4838891,38.0312205
2022-00068804,ACPD,S5-13,2022-10-15T22:05:40Z,Shots Fired 1,6100 JEFFERSON MILL RD,VERIFIED,Albemarle County,Shots Fired,6100 JEFFERSON MILL RD Albemarle County,-78.4588945,37.867458
2022-00029917,CPD,CASE,2022-10-16T02:39:05Z,13A,800 HARDY DR,CASE,Charlottesville,Aggravated Assault,800 HARDY DR Charlottesville,-78.49039789999999,38.0332385
2022-00030643,CPD,CASE,2022-10-23T00:55:05Z,09A,200 MAIN ST,CASE,Charlottesville,Murder,200 MAIN ST Charlottesville,-78.4825173,38.0308406
2022-00070937,ACPD,CASE,2022-10-25T08:24:56Z,09A,2100 STONY POINT RD,CASE,Albemarle County,Murder,2100 STONY POINT RD Albemarle County,-78.4296086,38.0619503
2022-00071330,ACPD,S6-15,2022-10-26T21:28:54Z,Shots Fired 2,1500 OLD LYNCHBURG RD,VERIFIED,Albemarle County,Shots Fired,1500 OLD LYNCHBURG RD Albemarle County,-78.5482001,37.9711739
2022-00072142,ACPD,S6-4,2022-10-30T05:01:27Z,Shots Fired 2,1500 VILLA TER,VERIFIED,Albemarle County,Shots Fired,1500 VILLA TER Albemarle County,-78.5269138,38.007871
2022-00032258,CPD,DS-3,2022-11-05T00:40:37Z,Shots Fired 2,ELLIOTT AVE,VERIFIED,Charlottesville,Shots Fired,ELLIOTT AVE Charlottesville,-78.4813886,38.0212784
2022-00073557,ACPD,S1-7,2022-11-05T20:42:36Z,Shots Fired 3,GREENBRIER DR,VERIFIED,Albemarle County,Shots Fired,GREENBRIER DR Albemarle County,-78.4794319,38.0680267
2022-00073564,ACPD,CASE,2022-11-05T21:21:22Z,13A,2100 CLUBHOUSE WAY,CASE,Albemarle County,Aggravated Assault,2100 CLUBHOUSE WAY Albemarle County,-78.4873576,38.0776051
2022-00073585,ACPD,S6-4,2022-11-05T23:25:06Z,Shots Fired 2,900 UPPER BROOK CT,VERIFIED,Albemarle County,Shots Fired,900 UPPER BROOK CT Albemarle County,-78.5250477,38.0056984
2022-00073685,ACPD,S4-11,2022-11-06T12:02:04Z,Shots Fired 2,1800 HARRINGTON RD,VERIFIED,Albemarle County,Shots Fired,1800 HARRINGTON RD Albemarle County,-78.2511033,38.0855714
2022-00032715,CPD,CASE,2022-11-09T09:43:05Z,13A,300 MAIN ST,CASE,Charlottesville,Aggravated Assault,300 MAIN ST Charlottesville,-78.4855953,38.0302236
2022-00074515,ACPD,CASE,2022-11-10T11:35:50Z,13A,2100 LEGENDS WAY,CASE,Albemarle County,Aggravated Assault,2100 LEGENDS WAY Albemarle County,-78.4300923,37.8900295
2022-00032776,UPD,CASE,2022-11-11T18:08:51Z,13A,1800 UNIVERSITY AVE,CASE,Charlottesville,Aggravated Assault,1800 UNIVERSITY AVE Charlottesville,-78.5031776,38.0366604
2022-00032976,CPD,DC-5,2022-11-11T18:10:29Z,Shots Fired 2,ELLIEWOOD AVE,VERIFIED,Charlottesville,Shots Fired,ELLIEWOOD AVE Charlottesville,-78.5004483,38.0360929
2022-00033092,CPD,CASE,2022-11-12T17:54:10Z,13A,800 HARDY DR,CASE,Charlottesville,Aggravated Assault,800 HARDY DR Charlottesville,-78.49039789999999,38.0332385
2022-00033050,UPD,CASE,2022-11-13T22:16:39Z,09A,100 CULBRETH RD,CASE,Charlottesville,Murder,100 CULBRETH RD Charlottesville,-78.5040022,38.0401342
2022-00075234,ACPD,S6-4,2022-11-14T07:48:20Z,Shots Fired 2,400 NOB HILL CIR,VERIFIED,Albemarle County,Shots Fired,400 NOB HILL CIR Albemarle County,-78.5263331,38.02063
2022-00033380,CPD,DN-15,2022-11-15T10:45:46Z,Active Shooter 1,1500 DAIRY RD,VERIFIED,Charlottesville,Active Shooter,1500 DAIRY RD Charlottesville,-78.48766549999999,38.0522695
2022-00034211,CPD,CASE,2022-11-23T18:31:50Z,13A,300 10 1/2 ST,CASE,Charlottesville,Aggravated Assault,300 10 1/2 ST Charlottesville,-78.49432569999999,38.035591
2022-00077335,ACPD,S7-16,2022-11-24T13:47:18Z,Shots Fired 2,2400 WILLISTON DR,VERIFIED,Albemarle County,Shots Fired,2400 WILLISTON DR Albemarle County,-78.58327899999999,38.064189
2022-00034252,CPD,CASE,2022-11-24T22:14:45Z,13A,700 PROSPECT AVE,CASE,Charlottesville,Aggravated Assault,700 PROSPECT AVE Charlottesville,-78.49439579999999,38.0246386
2022-00034499,CPD,CASE,2022-11-27T21:33:19Z,13A,500 PATON ST,CASE,Charlottesville,Aggravated Assault,500 PATON ST Charlottesville,-78.502145,38.0271285
2022-00078333,ACPD,S8-18,2022-11-29T20:33:53Z,Shots Fired 1,8600 BROOKSVILLE RD,VERIFIED,Albemarle County,Shots Fired,8600 BROOKSVILLE RD Albemarle County,-78.7951137,38.0304996
2022-00078348,ACPD,S4-11,2022-11-29T22:38:18Z,Shots Fired 2,7200 HAPPY CREEK RD,VERIFIED,Albemarle County,Shots Fired,7200 HAPPY CREEK RD Albemarle County,-78.24992370000001,38.1381014
2022-00078947,ACPD,S6-4,2022-12-03T00:51:13Z,Shots Fired 2,300 HICKORY ST,VERIFIED,Albemarle County,Shots Fired,300 HICKORY ST Albemarle County,-78.51825099999999,38.0001766
2022-00079363,ACPD,S4-11,2022-12-05T15:49:39Z,Shots Fired 2,5500 LOUISA RD,VERIFIED,Albemarle County,Shots Fired,5500 LOUISA RD Albemarle County,-78.31331639999999,38.055362
2022-00035272,CPD,CASE,2022-12-05T20:21:09Z,13A,500 RIDGE ST,CASE,Charlottesville,Aggravated Assault,500 RIDGE ST Charlottesville,-78.48670349999999,38.0271065
2022-00035593,CPD,DS-9,2022-12-08T22:22:04Z,Shots Fired 2,600 DICE ST,VERIFIED,Charlottesville,Shots Fired,600 DICE ST Charlottesville,-78.4898448,38.0292096
2022-00035595,CPD,DC-3,2022-12-08T23:37:37Z,Shots Fired 2,800 HARDY DR,VERIFIED,Charlottesville,Shots Fired,800 HARDY DR Charlottesville,-78.49039789999999,38.0332385
2022-00035598,CPD,CASE,2022-12-09T00:53:09Z,13A,700 PROSPECT AVE,CASE,Charlottesville,Aggravated Assault,700 PROSPECT AVE Charlottesville,-78.49439579999999,38.0246386
2022-00035981,CPD,DN-5,2022-12-13T10:00:07Z,Shots Fired 1,1300 WILLOW DR,VERIFIED,Charlottesville,Shots Fired,1300 WILLOW DR Charlottesville,-78.4614569,38.0349888
2022-00036329,CPD,CASE,2022-12-16T21:17:36Z,13A,700 PROSPECT AVE,CASE,Charlottesville,Aggravated Assault,700 PROSPECT AVE Charlottesville,-78.49439579999999,38.0246386
2022-00036463,CPD,CASE,2022-12-18T02:20:20Z,13A,100 14TH ST,CASE,Charlottesville,Aggravated Assault,100 14TH ST Charlottesville,-78.4993999,38.03418449999999
2022-00082064,ACPD,S4-10,2022-12-18T15:57:06Z,Shots Fired 2,3500 BROOK MILL LN,VERIFIED,Albemarle County,Shots Fired,3500 BROOK MILL LN Albemarle County,-78.37664,38.1232552
2022-00036615,CPD,CASE,2022-12-19T17:45:27Z,13A,2300 NORTH BERKSHIRE RD,CASE,Charlottesville,Aggravated Assault,2300 NORTH BERKSHIRE RD Charlottesville,-78.49661119999999,38.0625308
2022-00082723,ACPD,S8-19,2022-12-21T13:58:52Z,Shots Fired 2,4800 BREAK HEART RD,VERIFIED,Albemarle County,Shots Fired,4800 BREAK HEART RD Albemarle County,-78.668533299999993,38.1384069
2022-00083335,ACPD,S6-4,2022-12-24T23:03:37Z,Shots Fired 2,HICKORY ST,VERIFIED,Albemarle County,Shots Fired,HICKORY ST Albemarle County,-78.5192854,37.9996478
2022-00084094,ACPD,S3-20,2022-12-29T16:19:45Z,Shots Fired 2,BLEAK HOUSE RD,VERIFIED,Albemarle County,Shots Fired,BLEAK HOUSE RD Albemarle County,-78.5261995,38.1447652
2023-00000283,ACPD,S1-6,2023-01-02T23:33:08Z,Shots Fired 2,400 BURGOYNE RD,VERIFIED,Albemarle County,Shots Fired,400 BURGOYNE RD Albemarle County,-78.5128683,38.0639348
2023-00000776,ACPD,S6-4,2023-01-04T21:26:27Z,Shots Fired 2,SCARBOROUGH PL,VERIFIED,Albemarle County,Shots Fired,SCARBOROUGH PL Albemarle County,-78.5223024,38.0087353
2023-00000481,CPD,DN-19,2023-01-05T19:33:40Z,Shots Fired 2,2300 ANGUS RD,VERIFIED,Charlottesville,Shots Fired,2300 ANGUS RD Charlottesville,-78.4980199,38.0612197
2023-00000805,CPD,CASE,2023-01-08T13:40:40Z,09A,400 MONTICELLO RD,CASE,Charlottesville,Murder,400 MONTICELLO RD Charlottesville,-78.4761082,38.0252934
2023-00001662,ACPD,S7-16,2023-01-09T00:15:29Z,Shots Fired 2,3700 IVYWOOD LN,VERIFIED,Albemarle County,Shots Fired,3700 IVYWOOD LN Albemarle County,-78.6278425,38.0558936
2023-00001777,ACPD,S8-18,2023-01-09T11:36:00Z,Shots Fired 2,8900 DURRETTE RD,VERIFIED,Albemarle County,Shots Fired,8900 DURRETTE RD Albemarle County,-78.8112708,38.0057783
2023-00001155,CPD,CASE,2023-01-11T22:30:32Z,13A,100 MIDDLESEX DR,CASE,Charlottesville,Aggravated Assault,100 MIDDLESEX DR Charlottesville,-78.5030665,38.0594734
2023-00001212,CPD,DN-19,2023-01-12T17:08:49Z,Shots Fired 2,2100 ANGUS RD,VERIFIED,Charlottesville,Shots Fired,2100 ANGUS RD Charlottesville,-78.49483959999999,38.0591743
2023-00003243,ACPD,S1-6,2023-01-16T12:56:03Z,Shots Fired 1,2200 COMMONWEALTH DR,VERIFIED,Albemarle County,Shots Fired,2200 COMMONWEALTH DR Albemarle County,-78.49312599999999,38.0696355
2023-00001875,CPD,CASE,2023-01-18T17:46:21Z,13A,700 PROSPECT AVE,CASE,Charlottesville,Aggravated Assault,700 PROSPECT AVE Charlottesville,-78.49439579999999,38.0246386
2023-00004690,ACPD,S1-6,2023-01-23T00:29:40Z,Shots Fired 2,2400 PEYTON DR,VERIFIED,Albemarle County,Shots Fired,2400 PEYTON DR Albemarle County,-78.4898949,38.07139120000001
2023-00002469,CPD,CASE,2023-01-23T22:03:58Z,13A,700 6TH ST,CASE,Charlottesville,Aggravated Assault,700 6TH ST Charlottesville,-78.48072189999999,38.0251055
2023-00002481,CPD,CASE,2023-01-24T00:43:02Z,13A,400 OAKMONT ST,CASE,Charlottesville,Aggravated Assault,400 OAKMONT ST Charlottesville,-78.4850081,38.0274769
2023-00003026,CPD,CASE,2023-01-28T21:41:30Z,09A,1100 GROVE ST,CASE,Charlottesville,Murder,1100 GROVE ST Charlottesville,-78.4992496,38.029175
2023-00006559,ACPD,S4-10,2023-01-31T07:03:31Z,Shots Fired 2,2300 MINOR MILL RD,VERIFIED,Albemarle County,Shots Fired,2300 MINOR MILL RD Albemarle County,-78.4189827,38.0714399
2023-00006670,ACPD,S5-3,2023-01-31T21:11:07Z,Shots Fired 2,1400 GRAY STONE CT,VERIFIED,Albemarle County,Shots Fired,1400 GRAY STONE CT Albemarle County,-78.5025304,37.9985187
2023-00003306,CPD,DN-8,2023-01-31T23:54:42Z,Shots Fired 2,100 AMHERST CMN,VERIFIED,Charlottesville,Shots Fired,100 AMHERST CMN Charlottesville,-78.4871718,38.0426671
2023-00003523,CPD,CASE,2023-02-02T22:09:48Z,13A,300 RIDGE ST,CASE,Charlottesville,Aggravated Assault,300 RIDGE ST Charlottesville,-78.4856961,38.0283691
2023-00003522,CPD,DC-3,2023-02-02T22:10:51Z,Shots Fired 2,200 10TH ST,VERIFIED,Charlottesville,Shots Fired,200 10TH ST Charlottesville,-78.4731975,38.0288127
2023-00007429,ACPD,S6-4,2023-02-03T19:17:09Z,Shots Fired 2,100 WAHOO WAY,VERIFIED,Albemarle County,Shots Fired,100 WAHOO WAY Albemarle County,-78.5176374,38.0072748
2023-00008039,ACPD,S4-11,2023-02-06T14:32:11Z,Shots Fired 2,1800 LINDSAY RD,VERIFIED,Albemarle County,Shots Fired,1800 LINDSAY RD Albemarle County,-78.2456855,38.0855632
2023-00008156,ACPD,S1-7,2023-02-06T23:14:31Z,Shots Fired 2,1500 SHADY FOREST WAY,VERIFIED,Albemarle County,Shots Fired,1500 SHADY FOREST WAY Albemarle County,-78.4868967,38.0784486
2023-00004176,CPD,CASE,2023-02-08T00:23:45Z,13A,900 HARRIS ST,CASE,Charlottesville,Aggravated Assault,900 HARRIS ST Charlottesville,-78.4825202,38.0376211
2023-00008905,ACPD,S7-16,2023-02-09T16:22:32Z,Shots Fired 2,3200 MORGANTOWN RD,VERIFIED,Albemarle County,Shots Fired,3200 MORGANTOWN RD Albemarle County,-78.6108941,38.058938499999996
2023-00004564,CPD,CASE,2023-02-10T23:35:09Z,13A,800 HARDY DR,CASE,Charlottesville,Aggravated Assault,800 HARDY DR Charlottesville,-78.49039789999999,38.0332385
2023-00009511,ACPD,CASE,2023-02-12T23:24:32Z,13A,900 TWENTYNINTH PLACE CT,CASE,Albemarle County,Aggravated Assault,900 TWENTYNINTH PLACE CT Albemarle County,-78.47857719999999,38.0774075
2023-00009914,ACPD,S1-6,2023-02-14T14:17:43Z,Shots Fired 3,2200 COMMONWEALTH DR,VERIFIED,Albemarle County,Shots Fired,2200 COMMONWEALTH DR Albemarle County,-78.49312599999999,38.0696355
2023-00009989,ACPD,S6-4,2023-02-14T21:25:17Z,Shots Fired 2,1700 MATTOX CT,VERIFIED,Albemarle County,Shots Fired,1700 MATTOX CT Albemarle County,-78.531571,37.9947214
2023-00010126,ACPD,CASE,2023-02-15T11:35:15Z,13A,200 WAHOO WAY,CASE,Albemarle County,Aggravated Assault,200 WAHOO WAY Albemarle County,-78.5174767,38.007968
2023-00005454,CPD,CASE,2023-02-18T20:49:21Z,13A,400 10TH ST,CASE,Charlottesville,Aggravated Assault,400 10TH ST Charlottesville,-78.47152969999999,38.0310763
2023-00011678,ACPD,CASE,2023-02-21T21:42:55Z,09A,300 TIMBERLAND LN,CASE,Albemarle County,Murder,300 TIMBERLAND LN Albemarle County,-78.51976719999999,38.0090168
2023-00005897,CPD,CASE,2023-02-22T15:41:21Z,09A,900 PAGE ST,CASE,Charlottesville,Murder,900 PAGE ST Charlottesville,-78.4920041,38.0347348
2023-00006204,CPD,DS-1,2023-02-25T06:10:27Z,Shots Fired 2,1400 EARLY ST,VERIFIED,Charlottesville,Shots Fired,1400 EARLY ST Charlottesville,-78.4835546,38.0190354
2023-00012910,ACPD,S8-18,2023-02-26T12:39:28Z,Shots Fired 2,800 GREENWOOD RD,VERIFIED,Albemarle County,Shots Fired,800 GREENWOOD RD Albemarle County,-78.75669909999999,38.0531761
2023-00006645,CPD,CASE,2023-02-28T11:07:43Z,13A,800 HARDY DR,CASE,Charlottesville,Aggravated Assault,800 HARDY DR Charlottesville,-78.49039789999999,38.0332385
2023-00007133,CPD,CASE,2023-03-04T14:04:42Z,09A,800 CHERRY AVE,CASE,Charlottesville,Murder,800 CHERRY AVE Charlottesville,-78.4933791,38.0283117
2023-00015301,ACPD,S4-10,2023-03-06T21:31:26Z,Shots Fired 2,4100 GILBERT STATION RD,VERIFIED,Albemarle County,Shots Fired,4100 GILBERT STATION RD Albemarle County,-78.372327,38.1449215
2023-00016869,ACPD,S1-6,2023-03-13T13:48:47Z,Shots Fired 2,100 OAK FOREST CIR,VERIFIED,Albemarle County,Shots Fired,100 OAK FOREST CIR Albemarle County,-78.495516,38.0719394
2023-00017479,ACPD,S5-13,2023-03-15T18:06:25Z,Shots Fired 2,1800 THOMAS JEFFERSON PKWY,VERIFIED,Albemarle County,Shots Fired,1800 THOMAS JEFFERSON PKWY Albemarle County,-78.4255944,37.98161229999999
2023-00008584,CPD,CASE,2023-03-16T21:08:56Z,13A,1200 GRADY AVE,CASE,Charlottesville,Aggravated Assault,1200 GRADY AVE Charlottesville,-78.49434149999999,38.0394575
2023-00008382,UPD,CASE,2023-03-16T22:17:14Z,13A,100 RUGBY RD,CASE,Charlottesville,Aggravated Assault,100 RUGBY RD Charlottesville,-78.5033943,38.0368693
2023-00008748,CPD,CASE,2023-03-18T01:57:19Z,09A,100 MINOR COURT LN,CASE,Charlottesville,Murder,100 MINOR COURT LN Charlottesville,-78.50058,38.0348878
2023-00008750,CPD,DC-3,2023-03-18T02:09:11Z,Shots Fired 2,HARDY DR,VERIFIED,Charlottesville,Shots Fired,HARDY DR Charlottesville,-78.4915826,38.0335602
2023-00008752,CPD,CASE,2023-03-18T03:10:59Z,13A,ELLIEWOOD AVE,CASE,Charlottesville,Aggravated Assault,ELLIEWOOD AVE Charlottesville,-78.5004483,38.0360929
2023-00018137,ACPD,S1-6,2023-03-18T04:39:47Z,Shots Fired 2,2300 PEYTON DR,VERIFIED,Albemarle County,Shots Fired,2300 PEYTON DR Albemarle County,-78.4934019,38.0729196
2023-00018519,ACPD,CASE,2023-03-19T21:55:26Z,13A,MILL CREEK DR,CASE,Albemarle County,Aggravated Assault,MILL CREEK DR Albemarle County,-78.4951239,37.9984763
2023-00009168,CPD,DC-3,2023-03-21T02:32:32Z,Shots Fired 1,800 HARDY DR,VERIFIED,Charlottesville,Shots Fired,800 HARDY DR Charlottesville,-78.49039789999999,38.0332385
2023-00009371,CPD,CASE,2023-03-22T20:05:56Z,13A,1600 CEDAR HILL RD,CASE,Charlottesville,Aggravated Assault,1600 CEDAR HILL RD Charlottesville,-78.4997502,38.0591968
2023-00019525,ACPD,S1-6,2023-03-24T00:14:12Z,Shots Fired 2,300 BENNINGTON RD,VERIFIED,Albemarle County,Shots Fired,300 BENNINGTON RD Albemarle County,-78.5019753,38.066517
